text	target	predicted
"From the hills to the valleys, I’m making my way
Producer(s): 2 Chainz, T-Pain
Hook:
Girl, this is life
You can tell by the way you take it
When your lips make me scream
Let it grow like a flower seed
We both know we're beautiful
And no one else can do what we do
As if we were ever given the chance to choose
To be as pretty and smart as we are

Verse 1:
I'm getting ready for a night out
It's not too late for the party
So just come around the place
Girl, don't worry about the bills or the drinks
I got enough to eat right now to last forever
And now that everyone's together
I really don't know where to look but love's in me
I get so jealous when I'm with someone new
That they think I got a little bigger hands than me
But all of our hearts are made up of atoms
I'd give anything just to love you back more

Chorus:
I'm from another planet
I came here today to tell ya
Yeah, girl I want to share the show tonight
Baby let me feel her heartbeat
Oh-oh-oh
I'm real close to the edge
She says she'll be fine
I put everything that we could have on the line (on the line)
No matter who the next man is before us

Pre Hook:
Girl, this is life
You can tell by the way you take it
When your lips make me scream
Let it grow like a flower seed
We both know we're beautiful
But no one else can do what we do
As if we had any clue that we were ever meant to be

Post Hook:
Everything about you seems alright"	rb	rap
"Every moment's a treasure, don't let it fade
Hundred-years of making you listen is all we've got

Pre chorus:
For our time will be spent in an endless stream of tears
But every hour brings promise and love forever

Chorus:
I'll never ever stop wishing on one another (oh no)
You're so beautiful I feel that I need your touch
Baby please just take me back to where we started
Tell me if this is what I want from you right now
Hold me for love and just give in
No matter how deep in our feelings there's still such a rush
That sometimes it feels like we end up going back to the start
And my heart doesn't wanna leave without you when i have nothing left inside me
We won't make it, 'til we're here again, never come out

Verse 1:
Just a man trapped inside a world
That tells us we'll eventually go down bad or high
But our dreams won't change but we don't understand ourselves with age

Chorus x 2

Bridge:
I hope that someday you'll see
That something like this can last forever
So tell me what can we do about this? It's hard to find, yeah
My precious soul just sits at Your feet

Pre chorus:
For our time will be spent on an endless stream of tears
But every hour brings promise and love forever...


Chorus x2"	rb	country
"What they talkin' 'bout? They ain't talkin' 'bout nothin'

Verse 1:
I ain't tryna make it big
Just a couple of kids, living my dreams
It don't come without worry

(Hook) X2
Don't worry bout how you feel
Be the man with your life, or be a piece for your family
If you live in need of something real real real easy
Get out the way to find yourself
Keep movin' on and gettin' back what we got
(Repeat Hook 2X)

Bridge:
So much about you, like the things I see in you
Tell me where you at cause there's always something better to do
Then keep going but let these tears fall down again

Verse 2:
Now here I stand in amazement
All this power that makes us all
There's just too many people in this world now
Not everyone has to earn it all then have it
See, people don't have to be paid
Instead, they look from every city, place, and everything
To tell them what to do so they can succeed
They think it's cool 'til they're rich, so they give up on it
In fact, when you've been there for far too long
You know one day you'll realize you gotta get away from this game
Your life gotta win"	rock	rap
"The waves crash down, but I still stand tall
(Drain the waves; you're gonna hear it every time)
Pre-Chorus:
Lyrical energy, lyrical power
I'm like water and your mind's a tidal wave
Climbin' in, you're on a rocker vibe
Lyrical energy, lyrical power
I'm like water and your mind's a tidal wave
Like Water and Your Mind's A tidal wave
Lyrical energy, lyrical power
I'm like water and your mind's a tidal wave
Synthically active through each of my songs

Hook:
Can't do it with these beats
It don't really matter how we keep going (keep going)

Verse 1:
Lyrical energy, lyrical power
I don't think that nobody could match just the way I feel when I'm writing this
But now listen to this beat, just for a second
Sink me deeper into what is real within an ocean
We are the force in this music, together we are strong
Letting go ain't easy, and if you know how difficult it is then maybe then you can stop it
And help it flow, and let it show, even though there's still a ton of lies in it
Allowing us release from all of the things that have kept you waiting
If this is how you were going to end up, or was it just part of the plan?

Pre-Chorus:

Harmony rhythm, harmonic energy
You should not take a ride with them, they'll take over your life

Hook:

Can't do it with these beats
It don't really matter how we keep going
Vulnerable to damage, so stay outta line
You gotta be patient, be ready 'til they turn the tide

Guitar Solo:

Bridge:
Vulnerable to damage, so stay outta line
You gotta be patient, be ready 'til they turn the tide

Hook:"	rock	rap
"Under the neon lights, the future is ours
Producer(s): Jonny Lee Miller

Verse 1:-
Everytime you go to visit someone new
You need some direction from their heart
So come and take care
Of everything 'cause it could help you grow
When you look into your reflection there's a shining light
That’s why I see this world in your eyes for everyday dreamers
There was always somewhere we used to go

Pre-Chorus: (2x)
The moment that you were born
We shared our life as one
A chance to be in each other's company
(To be together without no one else but you)
Let's just forget what we've been through...
Verse 2:-
Before they had ever seen us cry
The world couldn't wait
And you wouldn’t even think twice
But now you’re just in time enough to know
Everything 'round is meant to lead you where you are heading
Take control of all your plans then open up the door
Cause all your dreams will fall into perfect shape and form
Now with confidence here on Earth
It feels like home
In the eyes of the night
In the eyes of the night
I'm just saying baby give me the chance I need right now!

Pre-Chorus

Chorus x4"	country	pop
"I see the stars align, guiding my way home
From our galaxy view to infinity, I'm soaring above you
‘cause everybody's right there

When you turn your back on this earth, I will never stop loving you (no)
You're my heart, hold it inside for just one day (yes), you give me joy and life
I am with you - only time you'll understand why
And not another time that we are apart of a starry night
There's nothing else I can do
Please, let me show you how to fly so far away!
Come closer when we're falling out tonight
The colors still shine brightly... but they'll burn dimly
'Cause, oh no they won't
So come closer when we're falling out tonight
Love is something that will never die, and i feel that love is here again
Here in my heart forever more, forever more, love forevermore…

Hook:
Feel myself rising up high, like I could find someone new
'Cause now i got someone who's always there
No hesitation no question
I believe in this world
Wake up when the skies look bright, as if I was dreaming
Dreaming and feeling all over the place
'Cause all these nights have been going slow and steady
But now what i've gained is more than the amount
That he made me get
From every corner of the globe, from space to pain, all i ever wanted to be...

Verse 1:
Your love has led you back into my arms by my side
What a sweet love it is, you are a precious gem to me
My whole world knows that when you turn your back, you need someone, I'm ready
You are such a perfect thing that helps to ease my broken mind
The memories will haunt ya dreams while you sleep at night
And remember everything that was you and I had before
We were born to soar together, but we couldn't live without You... But I know... I don't want to break free yet
It's your love that made us fall this way, baby..."	pop	rb
"Walking down roads I’ve never seen before
No need to go all night

Verse 1:
I've been living life without your touch, so why am i getting low? 
I swear there's no reason for me to be so numb when I don't even feel the same. So many obstacles that you placed on my path but I was only in the beginning, now im just stuck in between them and feeling lonely because of those obstacles that you always had for me (I lost it from the start) and thats bad

Chorus: x2 “what was I told you last time I talked to you???   It’s hard enough to believe this shit still holds onto you like you’ve got nothing left or you’re not ready anymore.  Just let the drama happen.  Let them see exactly what they want to hear
No matter how bad it gets, this heart hurts more when it’s broken than when you cry.  But if it stops, please just accept it, Im sorry!  I tried! I lied!!!  This life just doesn’t come easy.   And all the other days I felt lost, scared & ashamed, but I wanted someone who would make me whole.  When I thought you’d take my side, I had to leave you alone.  Now I'm just going through the motions, like walking right back into my hole, cause nobody’s ever heard a sound till now!  But wait!!  But at least then im alive, because I can breathe....."	rap	rb
"The waves crash down, but I still stand tall
(Oh-oh!)
Hook:
I'm a boy that's trying for all these things
You're gonna need only one who wanna follow your heart
For me, yeah it'll always be the same
I got to let you lead me out of my mind (Wooooow)

Baby I want everything
When I take time, girl just know it will be worth it
It is in me. I am not just a puppet
Just listen while I speak and keep on working til we are alright
(So please just promise yourself baby, this isn't over yet.)
Don't go crazy when I hold your hand
Let me see how long you would leave your mark
Love is good, if you make love with someone special (Yes)

Bridge:
And don't you fall apart, baby let it come through like this every night
I could've done it any way, you would never have had this chance
I might be wrong
But my faith can help you through it too - oh...

Chorus:
You should stop messing with me babe, you know just how tough I feel inside
'Cause I'm here for ya until I die and there ain't nothing so perfect I can do without it
Yeah you can start by letting me take you on a different ride
My love is real enough
Make sure you stay up on the beat 'cause now she knows what love means
Chorus:
You should stop messing with me babe, you know just how tough I feel inside
'Cause I'm here for ya until I die and there ain't nothing so perfect I can do without it
Yeah you can start by letting me take you on a different ride
My love is real enough
Make sure you stay up on the beat 'cause now she knows what love means"	rb	rb
"I’ve been waiting for this moment all my life
It’s me, I know you and I

VERSE 1 :  It’s just me and her
The whole crowd will never know what to say or do
Maybe now that our bodies are older (she is older)
Don’t make the same mistake again and again (this time it ends)
Can we both learn from it? Don’t forget it (maybe)
When we meet at our old place with a love so damn strong (in heaven we are)
We can be good together
That’s why this is why I let u come in
So let me give you a kiss on the lips (let me give you a kiss on your lips)
Lose control of yourself because you’ve got something
You really wanna feel something (yeah)
There’s a reason why not too soon
I keep my mind on everything (my brain)
VERSE 2 :  In some situations we don't mean it
Your words ain’t perfect but you tell yourself ‘bout it
It’s different everyday here
Some days you seem to have no intention anymore
But girl we’ll still meet up in the future
In other days might even go out and find something new
Saying the most is all we want right now
I hope that she gets to know him first before we leave here
I see we get closer, but we’re not meant to touch
We’rе more than friends, like we belong to somebody else
We were meant to each other
Then one by one, there was nothing better
It’s alright if he don’t help you down
Gon be alright as well
If he keeps taking away your heart from you
All his selfish stuff will fade
And nobody knows when it ends or how deep
Or the feeling inside of their hearts
That they couldn’t help with when it hits home
Just watch us grow. Just look into their eyes, yeah...

CHORUS x2
Ooh! He was so strong! He was so strong
He was so strong
He was so strong
They saw this little lady with gold hair
Watching us grow! Like a star
Because he is beautiful!

VERSE 3 :  They saw this little lady with gold hair
Watching us grow! Like a star
Because he is beautiful

FINAL CHORUS


No matter what the weather we will always have someone
Who'll always follow, like we should
You and I, we won't forget, ever more..."	rock	pop
"Every moment's a treasure, don't let it fade

Pre-Chorus: I feel that it's hard to find
In the same place every time we touch
I know the path seems empty and hopeless

Chorus:
What you do when nothing makes sense?
Can't take no longer for each mistake
What you have with words I've learned from mistakes
And now I can say right now that I got what you need

Verse 1:
I don't believe in myself
That would hurt me so much
(Oh... oh)
All I did was get your love
This life I choose
So how long until I leave this world behind
Hook:
You came like wildfire
Yeah, yeah, yeah
I wanna stay around 'til everything breaks down (Uh?)
When I was young and weak, it would be such a shame (Yuh huh)
But since then, my strength has grown, and I'm stronger than ever (Mhm)

Pre Chorus x2:
I feel that I must not grow up
As people tell themselves
That maybe I'll always be someone else if I can
'Cause after all the times I chose
Love is all I never really needed
Chorus x6:
What you do when nothing makes sense?
Just walk through my ways, there's no chance at all
What you did was only a dream
Don't have the heart to ask for more"	pop	pop
