text	target	predicted
"[Verse 1: Egypt Dean & Alicia Keys]
Somewhere over the rainbow
Way up high
There's a land that I heard of
Once in a lullaby
Somewhere over the rainbow
Skies are blue
And the dreams that you dare to dream
Really do come true
Ooh (Ooh,ooh)

[Chorus: Egypt Dean & Alicia Keys]
Someday I'll wish upon a star
And wake up where the clouds are far
Behind me
Where troubles melt like lemon drops
Away above the chimney tops
That's wherе you'll find me

[Verse 2: Alicia Keys]
Somewherе over the rainbow
Bluebirds fly
Birds fly over the rainbow
Why, then, oh, why can't I? I-I ooh
[Vocal Bridge: Both]
Ooh (Ooh,ooh)
Hmm hmm
Ooh (Ooh,ooh)
Ooh (Ooh)
Hmm hmm

[Outro: Egypt Dean, Both]
If happy little bluebirds fly
Beyond the rainbow
Why, oh, why can't I?"	rb	rb
"Oh, everybody
How you can look I'm trying hard
To find out the rhythm and the rhyme
The Mothership has just started
To travel the Milky Way
All along the constellations to play
Everytime I'm writing a song
Everytime I'm writing a song
Everytime I try to feel right with my soul
The only thing that comes to me
I'm trying hard to find out the rhythm and the rhyme
But the only thing that comes to me
Get your funk on, get your funk on, get it
C'mon, c'mon get it
C'mon get the funk that I'm bringin' to you
Got to get my funk on tonight
Get your funk on, get your funk on, get it
C'mon, c'mon get it
I'll give it to you
(C'mon, bang the drums)
(C'mon, let's sing on)
C'mon baby, get my funk on tonight
C'mon baby, get my funk on tonight
C'mon baby, get my funk on tonight
C'mon baby, get my funk on tonight
Everytime I try to feel right with my soul
The only thing that comes to me
I'm trying hard to find out the rhythm and the rhyme
But the only thing that comes to me
Get your funk on, get your funk on, get it
C'mon get the funk that I'm bringin' to you
You got to get my funk on tonight
Get your funk on, get your funk on, get it
C'mon baby, make me feel alright
The Mothership has just started
Travelling along the whole Universe
A Universe of love, it's what you got to give me
Until you go to paradise
The Mothership has just started
Travelling in the Milky Way
Get your funk on, get your funk on, get your funk on
Get the funk that I'm bringin' to you
Get your funk on, get your funk on, get it
C'mon, get the funk that I'm bringin' to you
Baby, you got to get my funk tonight
Everytime I try to feel right with my soul
The only thing that comes to me
I'm trying hard to find out the rhythm and the rhyme
But the only thing that comes to me
Get your funk on, get your funk on, get your funk on
Get your funk on that I'm bringin' to you
Get your funk on, get your funk on, get your funk on
Get the funk that I'm bringin' to you tonight
Get your funk on, get your funk on
C'mon baby, I'm bringin' my funk to you tonight
Get your funk on, get your funk on
C'mon get it, I'm bringin' my funk to you tonight
Get your funk on, get your funk on
C'mon baby I'm bringin' my funk to you tonight
Get your funk on, get your funk on
C'mon get it, I'm bringin' the funk to you tonight"	rb	rock
"I dont't care about diamond rings
All the money won't make me sing
Lovin you's my mission
You're born to be my sweet thang

I don't care about superstars
I just wanna be where you are
For your recognition
You're born to be my sweet thang

Hey, boy, listen now
When I saw you the first time
You really blew my mind
You made me fly high in the sky
Like a butterfly
The whole world out of sight
Do you wanna know
What I did when I came down
I fell in love with you
And now I just do here for you
Something really new
Another girl will never do
I dont't care about diamond rings
All the money won't make me sing
Lovin you's my mission
You're born to be my sweet thang

There is no way to keep out
The love that's meant for you
And if you get sick here's a trick
Just another kick
My love will be the cure
And we're riding on
Any beam of the sunlight
The rainbow and the stars
We're getting around hear the sound
Never touch the ground
And stay the way we are

Hey boy let me show you all the miracles
Hey boy I just wanna get physical
And now I just do here for you
Something really new
Another girl will never do

I dont't care about diamond rings
All the money won't make me sing
Lovin you's my mission
You're born to be my sweet thang
People say we are dreaming
And we won't make it through
That it's all about
Getting rich, making money
Doing business, life is cruel, but
If I get your heart, the ace is my card
And I'll never be blue, so come on and just
Put away all fears - right now
Let them cry their tears - alone
Hey boy let me show you all the miracles
Hey boy I just wanna get physical
Hey boy let me show you all the miracles
We do it all night and we'll never be stopped

I dont't care about diamond rings
All the money won't make me sing
Lovin you's my mission
You're born to be my sweet thang

I don't wanna get back to bed
Wanna take you to church instead
Where we do french kissing
You're born to be my sweet thang

I don't care about superstars
I just wanna be where you are
For your recognition:
You're born to be my sweet thang"	pop	country
"You fucking betrayed me (Ayo pluto)
You going brazzin
Okay
You fucking betrayed me

Intro
Yo GG turn it up

Hook
I predicted you were fading
Tell me why'd you betrayed me?
I knew it that you hate me
That's shit was amazing, you start popping pills
Popping bottles for ill yea

Hook
I predicted you were fading
Tell me why'd you betrayed me?
I knew it that you hate me
That's shit was amazing, you start popping pills
Popping bottles for ill
Verse 1
If I said you my homie then I'll kill for you
I don't give fuck I'll pay the bills for you
Yuh I'm rolling all this guns for the mill
I swear to god my life ain't perfect
Don't be saying shit that you shouldn't I deserve it
Tell me what's the plane, yea tell me what's the purpose
Coming and go, that cuz heart broken

Chores
Please let me go yea, I want feel loose
Please let me go, I don't want hear no excuses (Yea)
I know that you hate, and I know that's truth yea

Chores
Please let me go yea I want feel loose
Please let me go I don't want hear no excuses
I know that you hate, and I know that's truth
I just hate life nigga yea I hate you
Yuh hate you

Verse 2
Yuh heart been frozen yuh it feels like the coldest
Heart been broken yuh nigga have you notice
I knew it is was coming from started
Assumed it was large yea you said I was dumb
Came out the smartest, My haters weren't surprised
Look at the downside
Gambling with life, now I gotta face downfall
Yuh they got him with some regrets
I don't need your love but yuh I really need it
That shit was stuckin in my head
All that sin that made, coming with me in my grave
Hook
I predicted you were fading
Tell me why'd you betrayed me?
I knew it that you hate me
That's shit was amazing, you start popping pills
Popping bottles for ill

Hook
I predicted you were fading
Tell me why'd you betrayed me?
I knew it that you hate me

Verse 3
I was a fool when I said I'll die for you (I'll die for you)
I was a fool when I said I'll fuck with you (I'll fuck with you)
I regret for the things I did for you

Hook
I predicted you were fading
Tell me why'd you betrayed me?
I knew it that you hate me
That's shit was amazing, started popping pills
Popping bottles for ill

Verse 4
Heard you said I was next
Couldn't really tell but I heard you killed your ex
Fuck that, I'm trying to live see me be the best
Fuck all the stress, yuh Xclush is on the stage
All the stress on you chest
That shit is not okay (Not okay)
Yea that shit is not okay yuh"	rap	rap
"[Intro]
I am not the kind of girl
Who should be rudely barging in
On a white veil occasion
But you are not the kind of boy
Who should be marrying the wrong girl

[Verse 1]
I sneak in and see your friends
And her snotty little family
All dressed in pastel
And she is yelling at a bridesmaid
Somewhere back inside a room
Wearing a gown shaped like a pastry

[Pre-Chorus]
This is surely not
What you thought it would be
I lose myself in a daydream
Where I stand and say
[Chorus]
Don't say yes, run away now
I'll meet you when you're out
Of the church at the back door
Don't wait or say a single vow
You need to hear me out
And they said ""speak now""

[Verse 2]
Fond gestures are exchanged
And the organ starts to play
A song that sounds like a death march
And I am hiding in the curtains
It seems that I was uninvited
By your lovely bride-to-be

[Pre-Chorus]
She floats down the aisle
Like a pageant queen
But I know you wish it was me
You wish it was me (Don't you?)

[Chorus]
Don't say yes, run away now
I'll meet you when you're out
Of the church at the back door
Don't wait or say a single vow
You need to hear me out
And they said ""speak now""
[Chorus]
Don't say yes, run away now
I'll meet you when you're out
Of the church at the back door
Don't wait or say a single vow
Your time is running out
And they said ""speak now""

[Interlude]
Ooh, la-da-da-da, oh
Ooh, ooh
(Say a single vow)

[Bridge]
I hear the preacher say
""Speak now or forever hold your peace""
There's the silence, there's my last chance
I stand up with shaking hands, all eyes on me
Horrified looks from everyone in the room
But I'm only looking at you

[Verse 3]
I am not the kind of girl
Who should be rudely barging in
On a white veil occasion
But you are not the kind of boy
Who should be marrying the wrong girl
[Chorus]
Don't say yes, run away now
I'll meet you when you're out
Of the church at the back door
Don't wait or say a single vow
You need to hear me out
And they said ""speak now""

[Chorus - Variation]
And you’ll say
""Let's run away now
I'll meet you when
I'm out of my tux at the back door""
Baby, I didn't say my vows
So glad you were around when they said
""Speak now"""	country	pop
"[Verse 1]
Girl when you look my way
You got me feeling, feeling some kind of way, ay
And I don't wanna play no games
Your body is senting, I can't let you walk away, no
I know, I see it in your eyes
You have the guts cuz your ex is nice
Trust me baby we could take time
We could take it slow
No lie, I can't deny
But a bruddah can't help but fantasise
Your eyes, your thighs, oh my x3

[Hook] x2
So tell me what you saying baby
Won't you come my way
I know how you feeling, oh na na na

[Chorus] x2
How long you got a man waiting
For you, I got a lot of patience
I'll swim the deepest ocean
On a sunny day I'll rub you some lotion
[Verse 2]
When the wind blows through your hair
I can't help myself, help myself but to stare
So please dont get me wrong
All the thoughts in my head
What I wanna do with you, yeah
Them bruddahs can wait in line
Hating on me cuz your giving me time
Imma make it worth your while
No regrets no
I guarantee that you will see
You ain't gonna find no one better than me
My side, tonight, oh my x3

[Hook] x2
So tell me what you saying baby
Won't you come my way
I know how you feeling, oh na na na

[Chorus] x2
How long you got a man waiting
For you, I got a lot of patience
I'll swim the deepest ocean
On a sunny day I'll rub you some lotion

[Bridge]
How long you got a man waiting
Stop playing girl we could be amazing
Take your clothes, you'll be back by the evening
And if I'm lucky you'll be back in the morning
[Chorus] x2
How long you got a man waiting
For you, I got a lot of patience
I'll swim the deepest ocean
On a sunny day I'll rub you some lotion"	rb	rap
"Oh maybe it won't be soon
I can see it in your eyes
But oh, Tarzana, call me when you change your mind
Oh you said it was you
Or just a shitty time
No, not a single heartfelt line

But I'll remember you
When the fear is heavy
When your cheek rubs off of mine
No, I won't be sad
I just wish we never had been

So now I'm asking you
When will you leave me be
Oh, Tarzana, give me separation please

But I'll remember you
When the fear is heavy
When your cheek rubs off of mine
No, I won't be sad
I just wish we never had been
I was afraid of us in ways I'd never known
We never spoke the way you kissed me on the phone
I don't miss you, no I like being alone
No, I'm not sad
I just wish we never happened"	country	pop
"Keep that check if it don’t come with commas
I got bands I could fuck yo momma
Like a black bitch I’m all about drama
Heard she a thot she gone suck wit a condom
Red hollow tips make em bleed like a Virgin
Laugh at the bank nigga cause I earned it
Killed his self in an alley like a German
Semi automatic don’t got a permit
These niggas snitching like a Candice (moom)
Catch em off guard wit a cannon
Niggas ain’t real niggas be filler
Hop out the stolo like a bandit
I’m in the field nigga like madden
Stay wit that fie nigga like a dragon
Yo gun jammed nigga u done panicked
I keep a Glock if the AR jammin

Commas (Continued)"	rap	rap
"[Verse 1: Kamaliza]

Took a while to get used to
But I got you in my blood now
About to get lifted
I'll call you when I touch down
Flyin’ through clear sky
See the curves of the sand dunes
Lost oceans weave through my mind
Gold mixed with warm blue
Showing things that you never showed me
Galaxies when you stare
Sentimental, never lonely
Green aura, raven hair
Take me for granted &
I'm quick to go
But, say words so softly and...
Watch how I glow

[Pre-Chorus 1: Kamaliza]
Is it wrong of me
If I play for keeps
Are your dreams alive
Does it hurt to sleep
I move forward
Just to know your name
I was wondering
If you felt the samе
[Chorus: Kamaliza]
Let's go yeah let's slidе
Anywhere you want to hit
We can ride to
You roll, while I drive
I just want to spend time while the skies blue
They don't know you like I, do
I love the way you’re
You, so warm and yet so cool

[Verse 2: Kamaliza]

And now you really got my soul light
Uncovered your bones, it makes me wonder
How I ever found you
Orbiting around you
Talk through to the morning but silence is our friend, I
Reset the status quo
I don’t have to pretend
Like I don't need you
Walls up but you see-through
Stitched up but I bleed through
New words from a black ink pen...
You know you make it feel so real
Finally free to be myself
Watch me exit from this shell
Give me time I will unfurl
[Pre Chorus 2: Kamaliza]
Is it wrong of me
If I play for keeps
No more surfaces
Show you underneath
I move forward, from an altered state
You are different, they are all the same

[Chorus: Kamaliza]
Let's go yeah let's slide
Anywhere you want to hit
We can ride to
You roll, while I drive
I just want to spend time while the skies blue
They don't know you like I, do
I love the way you’re
You, so warm and yet so cool

[Repeat Chorus]"	rb	country
"Verse 1
The Accidental miracle, somewhat spiritual and lyrical
The revolt of the robots got the system sprung, and I'm only 16 years young
I leave a black taste on your tongue
These kids are brainwashed by cathedrals and lack liberals. They can't dignify right or wrong, they just sing along
I'm self conscious, no fear of the consequence
Look at my soul illuminate, I'm part of the chosen fate, my nigga you ain't safe so you pose as bait
This generation is preposterous, that's why my world is full of darkness, you all must've lost this
They're stuck in austerity, can't seem to see the clarity
Third eye vision, set the division. A better view, stick your feet off the glue. Think for your own, don't be a clone
Lies from your parents and teachers, rape from the preachers
They don't determine who you are, focus on going far
A new form of rebels, to set sail and unleash hell
A generation of prophets, searching for a profit, money makes me vomit
I'm riding on that astral plane, we aren't the same. On a different genre, 7 aligned chakras
Learn to use what you've got, Shit it's not a lot
Women advertising their chest, rather then showing them what's best
They're acting depressed, wanting to be caressed
They seek attention, I seek Ascension
Here to guide em to the light, make sure they prosper to fight
Seek new sights, reach higher heights, it's your life. Do what you think is right
Verse 2 [PhantAzmic]
Time to form an indigo plot
Open your mind, become invincible before your brain rots
A generation of ignorance forgetting morals
Prophecies from the past are never told to you
Rage against the machines, free the robots, build self-esteem, don't fall into su-su-supreme, box logos box you out of your dreams, so please just believe... In yourself
Before you're seized by the fakes, blood thirsty for wealth
Economic situations society can't help
Turnin' up every night ain't good for my health,Blood pressure shoots through the roof, While the depth of problems drown in alcohol
Racial slurs dripping from under they jaws, Life is like a show, Cool kids act like assholes
Arrogant mothafuckers left under the spotlight, That ain't right, Give it some time, As I extend my positivity to the next move, My Fluorescent attitude gone leave you shook like the next crook
""I pray for y'all going through this, to find yourself, progress, hit or miss, & deny the antagonists around you."" Here's a cast for the pain yo brain has suffered from watchin' broads off the broadcast, Channel surfin' ain't easy while I'm on the wax/Trips to the galaxies & back, Fuck Thot, simply crack down the media
Brainwashed like broken toy soldiers, fuck the guide Ima fold it up
Backtrack to my euphoria
While it's just you & I & the world's against us"	rap	rap
